Tests bloquedos con '#', desbloquee el cual desee evaluar.
Prueba en SeisCuartos con un agente aleatorio.


Simulación de entorno tipo <class '__main__.SeisCuartos'> con el agente tipo <class '__main__.AgenteAleatorio_SeisCuartos'>

   Paso                    Estado                           Acción            Desempeño   
__________________________________________________________________________________________
    80    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    81    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    82    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    83    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    84    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    85    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    86    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    87    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    88    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    89    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    90    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    91    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    92    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    93    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    94    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    95    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    96    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    97    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    98    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    99    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
__________________________________________________________________________________________


Prueba del entorno DosCuartosCiego con un agente aleatorio


Simulación de entorno tipo <class '__main__.DosCuartosCiego'> con el agente tipo <class 'doscuartos_o.AgenteAleatorio'>

   Paso                    Estado                           Acción            Desempeño   
__________________________________________________________________________________________
    0             ['A', 'sucio', 'sucio']                    ir_B                     0
    1             ['B', 'sucio', 'sucio']                    nada                    -1
    2             ['B', 'sucio', 'sucio']                    nada                    -2
    3             ['B', 'sucio', 'sucio']                    nada                    -3
    4             ['B', 'sucio', 'sucio']                    nada                    -4
    5             ['B', 'sucio', 'sucio']                    nada                    -5
    6             ['B', 'sucio', 'sucio']                    ir_B                    -6
    7             ['B', 'sucio', 'sucio']                  limpiar                   -7
    8             ['B', 'sucio', 'limpio']                   ir_B                    -8
    9             ['B', 'sucio', 'limpio']                   nada                    -9
    10            ['B', 'sucio', 'limpio']                   nada                   -10
    11            ['B', 'sucio', 'limpio']                   nada                   -11
    12            ['B', 'sucio', 'limpio']                   ir_B                   -12
    13            ['B', 'sucio', 'limpio']                   nada                   -13
    14            ['B', 'sucio', 'limpio']                   ir_A                   -14
    15            ['A', 'sucio', 'limpio']                   ir_B                   -15
    16            ['B', 'sucio', 'limpio']                 limpiar                  -16
    17            ['B', 'sucio', 'limpio']                 limpiar                  -17
    18            ['B', 'sucio', 'limpio']                   nada                   -18
    19            ['B', 'sucio', 'limpio']                 limpiar                  -19
    20            ['B', 'sucio', 'limpio']                   ir_B                   -20
    21            ['B', 'sucio', 'limpio']                   ir_B                   -21
    22            ['B', 'sucio', 'limpio']                 limpiar                  -22
    23            ['B', 'sucio', 'limpio']                 limpiar                  -23
    24            ['B', 'sucio', 'limpio']                   ir_B                   -24
    25            ['B', 'sucio', 'limpio']                   ir_A                   -25
    26            ['A', 'sucio', 'limpio']                 limpiar                  -26
    27           ['A', 'limpio', 'limpio']                 limpiar                  -27
    28           ['A', 'limpio', 'limpio']                   ir_A                   -28
    29           ['A', 'limpio', 'limpio']                 limpiar                  -29
    30           ['A', 'limpio', 'limpio']                   nada                   -30
    31           ['A', 'limpio', 'limpio']                   nada                   -30
    32           ['A', 'limpio', 'limpio']                   nada                   -30
    33           ['A', 'limpio', 'limpio']                   ir_B                   -30
    34           ['B', 'limpio', 'limpio']                 limpiar                  -31
    35           ['B', 'limpio', 'limpio']                 limpiar                  -32
    36           ['B', 'limpio', 'limpio']                   ir_A                   -33
    37           ['A', 'limpio', 'limpio']                   ir_B                   -34
    38           ['B', 'limpio', 'limpio']                   ir_B                   -35
    39           ['B', 'limpio', 'limpio']                 limpiar                  -36
    40           ['B', 'limpio', 'limpio']                 limpiar                  -37
    41           ['B', 'limpio', 'limpio']                   ir_A                   -38
    42           ['A', 'limpio', 'limpio']                   ir_B                   -39
    43           ['B', 'limpio', 'limpio']                   ir_B                   -40
    44           ['B', 'limpio', 'limpio']                 limpiar                  -41
    45           ['B', 'limpio', 'limpio']                   nada                   -42
    46           ['B', 'limpio', 'limpio']                   nada                   -42
    47           ['B', 'limpio', 'limpio']                   nada                   -42
    48           ['B', 'limpio', 'limpio']                   ir_A                   -42
    49           ['A', 'limpio', 'limpio']                   ir_B                   -43
    50           ['B', 'limpio', 'limpio']                   ir_A                   -44
    51           ['A', 'limpio', 'limpio']                   ir_A                   -45
    52           ['A', 'limpio', 'limpio']                   ir_B                   -46
    53           ['B', 'limpio', 'limpio']                   ir_A                   -47
    54           ['A', 'limpio', 'limpio']                   nada                   -48
    55           ['A', 'limpio', 'limpio']                   ir_B                   -48
    56           ['B', 'limpio', 'limpio']                   ir_B                   -49
    57           ['B', 'limpio', 'limpio']                   ir_A                   -50
    58           ['A', 'limpio', 'limpio']                 limpiar                  -51
    59           ['A', 'limpio', 'limpio']                   ir_A                   -52
    60           ['A', 'limpio', 'limpio']                   ir_B                   -53
    61           ['B', 'limpio', 'limpio']                   ir_A                   -54
    62           ['A', 'limpio', 'limpio']                   ir_A                   -55
    63           ['A', 'limpio', 'limpio']                 limpiar                  -56
    64           ['A', 'limpio', 'limpio']                 limpiar                  -57
    65           ['A', 'limpio', 'limpio']                   ir_B                   -58
    66           ['B', 'limpio', 'limpio']                   ir_A                   -59
    67           ['A', 'limpio', 'limpio']                 limpiar                  -60
    68           ['A', 'limpio', 'limpio']                   nada                   -61
    69           ['A', 'limpio', 'limpio']                   ir_B                   -61
    70           ['B', 'limpio', 'limpio']                 limpiar                  -62
    71           ['B', 'limpio', 'limpio']                 limpiar                  -63
    72           ['B', 'limpio', 'limpio']                 limpiar                  -64
    73           ['B', 'limpio', 'limpio']                   ir_B                   -65
    74           ['B', 'limpio', 'limpio']                   nada                   -66
    75           ['B', 'limpio', 'limpio']                   ir_A                   -66
    76           ['A', 'limpio', 'limpio']                   ir_A                   -67
    77           ['A', 'limpio', 'limpio']                 limpiar                  -68
    78           ['A', 'limpio', 'limpio']                   ir_A                   -69
    79           ['A', 'limpio', 'limpio']                   nada                   -70
    80           ['A', 'limpio', 'limpio']                   ir_A                   -70
